Title,Album,Lyrics
Permanent Marker,Unreleased Songs,"[Verse 1]
I know he loved you
A long time ago
I ain't jealous of you
Just thought you should know
You were never good enough for him
Or anything like me
So you might as well sit back
Cause I'm not trying to show maturity

[Chorus]
""X"" is the shape I drew through your face
In permanent marker
Oh, yeah
Just like the mark you knew you were making
Who do you think you are?
To write on his heart in
Permanent marker

[Verse 2]
I found that picture
Of you in that green dress
Sure had a good time
Cleaning up that mess
He found 30 other pieces
But he'll never find them all
Tried to tape it back together
Now he knows to keep it off the wall

[Chorus]
""X"" is the shape I drew through your face
In permanent marker
Oh, yeah
Just like the mark you knew you were making
Who do you think you are?
To write on his heart in
Permanent marker

[Bridge]
And I don't appreciate you calling him to reminisce
The only reason is you're seeing how much better off he is

[Chorus]
""X"" is the shape I drew through your face
In permanent marker
Oh, yeah
Oh, yeah
Just like the mark you knew you were making
Who do you think you are?
To write on his heart

[Chorus]
""X"" is the shape I drew through your face
In permanent marker
Oh, yeah
Just like the mark you knew you were making
Who do you think you are?
To write on his heart in
Permanent marker

[Outro]
In permanent marker
Oh, permanent marker"
R.E.V.E.N.G.E.,Unreleased Songs,"[Verse-1]
I could have keyed your car
I could have rolled your yard
I know the passwords to your emails and everything you do
I could have put them to good use

But I'm dressed to kill
And tonight I am going out on a date
With your best friend
He always liked me anyway

[Hook]
R.E.V.E.N.G.E
My list of things to do this week
Jealousy, misery
Gon' give you what you gave to me
Make you feel so B.A.D
Break you, make you sorry
I hope you cry, I'm getting my
R.E.V.E.N.G.E

[Verse-2]
So I'm gonna paint the town with him
Replace your memory everywhere we've ever been
I don't hang-out at smokey bars, but I know we'll see you there
And I'll make you hear me laughing, like I just don't care

I know you hate my friends, so tonight I called them all
And later on you can expect some prank phone calls, baby!

[Hook]
R.E.V.E.N.G.E
My list of things to do this week
Jealousy, misery
Gon' give you what you gave to me

[Interlude]
S-A-N-I-T-Y
I hope you lose yours tonight
You've made me crazy too long
And so I'm working on

[Hook]
R.E.V.E.N.G.E
My list of things to do this week
Jealousy, misery
Gon' give you what you gave to me

[Outro]
Baby, baby
R.E.V.E.N.G.E
Oh, and give you what you gave to me
Oh"
Sparks Fly (Original Version),Unreleased Songs,"[Verse 1]
The way you move is like a full-on rainstorm
And I'm a house of cards
You say my name for the first time, baby
And I fall in love in an empty bar
And you stood there in front of me just close enough to touch
Close enough to hope you couldn't see what I was thinking of

[Chorus]
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile

[Verse 2]
So reach out open handed and lead me out to that floor
I don't need more paper lanterns
Take me down, baby
Bring on the movie score
'Cause my heart is beating fast and you are beautiful
I could wait patiently, but I really wish you would

[Chorus]
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile

[Bridge]
I run my fingers through your hair and watch the lights go wild
Just keep your beautiful eyes on me
Gonna strike this match tonight
And lead me up the staircase
Won't you whisper soft and slow
I'd love to hate it, but you make it like a firework show

[Chorus]
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile

[Outro]
And the sparks fly
Oh, baby, smile
And the sparks fly"
Stupid Boy,Unreleased Songs,"[Verse 1]
Let me know, how's it feel
To be under my skin, wrapped around my heart
Is it like anywhere you've been?
And everything I do, I do it just for you

[Chorus]
So why the hell don't you love me?
Why the hell don't you need me like I need you?
Why you so far above me?
Don't you know that there's nothing I wouldn't do?
But I was just a toy, which you destroyed
Stupid boy

[Verse 2]
I have been looking in, trying to read your mind
Give you the benefit of the doubt, every single time
And then you walk right by, I'm screaming out inside

[Chorus]
Why the hell don't you love me?
Why the hell don't you need me like I need you?
Why you so far above me?
Don't you know that there's nothing I wouldn't do?
But I was just a toy, which you destroyed
Stupid boy

[Bridge]
What happens when you wake up, to see that you've lost?
You take one look at me, cause that's what it cost
I just wanna be everything you need
Cause you're everything to me

[Chorus]
So why the hell don't you love me?
Why the hell don't you need me like I need you?
Why you so far above me?
Don't you know that there's nothing I wouldn't do?
But I was just a toy, which you destroyed
Stupid boy

[Outro]
Let me know, how's it feel to be under my skin"
Sunshine,Unreleased Songs,"[Verse One]
I walk in the room there's a beautiful sunshine ray
Across the room
Then I hear the phone ring walk to it and I don't know what to say
Hello, good day
But what I do know, is that tonight is gonna be the night, when

[Chorus]
He says 'I love you' and 'I really care about you'
When, he says he'll hold me in his arms when I'm afraid
When, I'll say, oh, I'll say I love him too
And, I care about you, yeah, this ain't no charade
Then he'll drive me home listenin' to the radio
And, he says he really loves me too, he'll do anything

[Verse Two]
Oh, I walk through the door there's a beautiful moonlight shine
Across the room
I crawl into bed thinkin' what I did today
With him
But what I do know, is that, I love him too
And the next time I see
Him walking down the street(down the street)
I'll think about this time, that was as beautiful as sunshine, oh

[Chorus]
He says 'I love you' and 'I really care about you'
Yeah, he says he'll hold me in his arms when I'm afraid
And I'll say, I love you too, yeah, I love you
Oh, I'll say, I care about you, yeah, this ain't no charade
Then he'll drive me home, listenin' to the radio
Then, he says, he really loves me and he'll do anything

[Bridge]
I look in his brown eyes, and see a surprise
It's like a present that you open
Oh, and do you know, oh, do you know
What that surprise is?
It's love
And the next time I see him walking down the streets in his old white T-shirt, I'll always remember
This time, that was as beautiful as sunshine

[Outro]
Oh, oh, oh, sunshine, oh, oh, oh, sunshine
Sunshine, sunshine, was as beautiful as sunshine"
Ten Dollars And A Six Pack,Unreleased Songs,"[Verse 1]
You were what I wanted when I wanted what I just couldn't have
You were country lovin'
Really somethin' for three months and a half
Everybody said that you were bad news
But, baby, I was betting on you

[Chorus]
So I guess I owe my friends ten dollars and a six pack
Got myself a big country serving of payback
I guess I'm gonna have to listen to my mama's ""I told you so""
But you ain't worth all that, ten dollars and a six pack

[Verse 2]
I said, ""let them say we're crazy,"" you said, ""let's go fishing tonight""
The midnight moon was blazing baby, I was looking into your eyes
Everything changed when you took me to town
Caught you staring every other girl down

[Chorus]
So I guess I owe my friends ten dollars and a six pack
Got myself a big country serving of payback
I guess I'm gonna have to listen to my mama's ""I told you so""
But you ain't worth all that, ten dollars and a six pack

[Bridge]
Can't believe the time you lost me
Can't believe what it cost me

[Chorus]
I owe my friends ten dollars and a six pack
Got myself a big country serving of payback
Had to go and listen to my mama's ""I told you so""
You ain't never been through that
You ain't worth all that, ten dollars and a six pack
You ain't worth all that, ten dollars and a six pack"
Tennessee,Unreleased Songs,"[Verse 1]
Standing on a street somewhere I don't wanna be
In a town that's made of stone
Some bad directions must have me here by mistake
'Cause this sure ain't what I call home

[Pre-Chorus]
Let me close my eyes for a second
See if I can get out of here, and

[Chorus]
Let my hair hang down, and I can feel the golden sun
And watch a pickup truck drive by
And I wanna tell the world how good it is to be right here
But I don't, I just sit under this tree
And I'm in Tennessee

[Verse 2]
Standing on a road leading to a barn
With a cat named Eloise
Later on, we'll all go fishing in the pond
But all we'll catch is just a summer breeze

[Pre-Chorus]
Let me close my eyes for a second
See if I can stay right here, and

[Chorus]
Let my hair hang down, and I can feel the golden sun
And watch a pickup truck drive by
And I wanna tell the world how good it is to be right here
But I don't, I just sit under this tree
And I'm in Tennessee

[Bridge]
When the pond is gone and Eloise floats away
I find myself staring at the same old day
I need to go back, back to where I feel so free
Well, it looks like I'm going back to Tennessee

[Chorus]
I let my hair hang down, and I can feel the golden sun
And watch a pickup truck drive by
And I wanna tell the world how good it is to be right here
But I don't, I just sit under this tree
Just me and Eloise
And I'm in Tennessee"
That’s When,Unreleased Songs,"[Verse 1]
I said I know
He said need some time, need some space
To think about all of this
I watched him go
He watched me crushed to the floor
On my knees, just like that
He said, ""When can I come back?""

[Chorus]
I said, that's when I wake up in the morning
That's when after sun is always storming
Laughing when I'm crying
That's when I'll be waiting at the front gate
That's when never see your face
I let you in, baby that's when

[Verse 2]
I said I know
He said I did you wrong, made mistakes
Put you through all of this
'Cause I let you go, you let me think
That I'll be fine without you
Imagine that!
So baby I'll come back

[Chorus]
I said, that's when I wake up in the morning
That's when after sun is always storming
Laughing when I'm crying
That's when I'll be waiting at the front gate
That's when never see your face
I let you in, baby that's when

[Bridge]
And I said all this playing
Did you ever think of me?
And he said

[Chorus]
I said, that's when I wake up in the morning
That's when after sun is always storming
Laughing when I'm crying
That's when I'll be waiting at the front gate
That's when never see your face
I let you in, baby that's when

[Outro]
I said I know
He said I need some time, need some space"
The Diary of Me,Unreleased Songs,"[Verse 1]
I'm a laid back
T-shirt, blue jean, mood ring, kinda girl
Hey, yeah, what's the word on you?
Lay low
I'm a mission rebel, angel devil
Little left of the middle
Sometimes I get temperamental

[Chorus]
But here I am, an open book
Turn the page, it's all the rage
Get a look on the inside
Oh, what you get is what you see
Baby, you hold the key
To the diary of me

[Verse 2]
I'm poetry
Complicated, simply stated
Hey yeah, baby, how about you?
I was born free
I'm a cell phone hippie
Are you with me?
When I mess up, I don't get up
I just get down, yeah

[Chorus]
But here I am, an open book
Turn the page, it's all the rage
Get a look on the inside
Oh, what you get is what you see
Baby, you hold the key
To the diary of me

[Verse 3]
It's raining on Sunday
There's nothin' on TV
Yesterday was lonely
You're the only one who gets me
My mind is like an island
Drifting through the ocean
I can't stop thinkin' about you
I bet you're thinkin' of me too

[Chorus]
Well, here I am, an open book
Turn the page, it's all the rage
Get a look on the inside
Oh, what you get is what you see
Baby, you hold the key
To the diary of me
Yeah, here I am, an open book
Turn the page, it's all the rage
Get a look on the inside
Oh, what you get is what you see
Baby, you hold the key
To the diary of me"
Thinkin’ ’Bout You,Unreleased Songs,"[Verse 1]
Walked into a chair leg
As I was thinking' bout' you
Your face jumped right in my way
As things lately do
Oh baby can't you see
The thought of you makes a mess of me
Walked into a chair leg
As I was thinking' bout' you

[Chorus]
And Now I
Can't walk straight
Can't talk straight
Can't think about anything but the way
It should be
It could be
And till you come 'round again I'll be
Doin' what I usually do
Thinkin' 'Bout you

Oh, ah

[Verse 2]
I get lost when I drive around town
Thinkin' 'bout your smile
Always ending' up
Your side of town
And I don't know why
Must be somethin' under this hood
Nobody's strong like you
Walked into a chair leg
As I was thinking' bout' you

[Chorus]
Can't walk straight
Can't talk straight
Can't think about anything but the way
It should be
It could be
And till you come 'round again I'll be
Doin' what I usually do
Thinkin' 'Bout you

[Verse 3]
Your eyes are the color of
The great big sea
The one I go swimmin' in
Every time you look at me

[Chorus]
Can't walk straight
Can't talk straight
Can't think about anything but the way
It should be
It could be
And till you come 'round again I'll be
Doin' what I usually do
Thinkin' 'Bout you

[Outro]
Walked into a chair leg
As I was thinking' bout' you"
Thirteen Blocks (Can’t Call It Love),Unreleased Songs,"[Verse 1]
Stumble up the porch step
You sat down in the car
Only thirteen blocks across this town
To get to where you are
And that don't offer me much time
To make up my mind
So I best be driving slow
On my way to letting go

[Verse 2]
These headlights they just wanna fade
Off into the night
But if they're half as stubborn as me
They'll just keep on shining bright
I ain't ever been one to settle like
The dust does on the dash
Since the feeling ain't strong
I'll just move on
And leave this in my past


[Chorus]
Once you're gone I know your memory'll
Somehow get the best of me
So I question everything I do
Unsure of turning you away
Wondering love how I'll act today
Until you find somebody new
So I've been holding on
Way too long
But not another minute
I'm gonna miss you bad but
Can't call it love if you ain't in it


[Verse 3]
Red light turns to green
Then back to red again
I wish there were some other travelers out here
To slow my travelling
Even though the wheel rolled on
Inside I still don't know
Oh and it troubles me so


[Chorus]
Once you're gone I know your memory'll
Somehow get the best of me
So I question everything I do
Unsure of turning you away
Wondering love how I'll feel today
I see you found somebody new
And I've been holding on
Way too long
But not another minute
I might miss you bad but
Can't call it love if you ain't in it

[Repeat Chorus]

[Outro]
Your car comes to a rest in the drive
You open up the door and I see you smile"
This Is Really Happening,Unreleased Songs,"[Verse 1]
Beneath the chandelier of stars and atmosphere
Tangled like the roots on the ground
The windows opened up
The wind is blowing and we're both not making a sound
It's like I'm melting on into you
Give me a reason why we should ever move
And

[Chorus]
Tell me
You'll never leave me
And I'm not crazy and
This is really happening
That this is really happening

[Verse 2]
Could this be better?
You write me letters
So you see me every day
You tend to treat me like
My name is up in lights
It really blows me away

Lock me up in a dark room
And I still can't take my eyes off you

[Chorus]
Tell me
You'll never leave me
And I'm not crazy and
This is really happening
That this is really happening

[Bridge]
All those kisses up against your car
For all those wishes on planes
We thought were stars
Memories like photographs
Oh, baby, here we are

[Chorus]
Tell me
You'll never leave me
And I'm not crazy and
Oh, this is really happening
Oh, oh, baby

[Chorus]
Tell me
You'll always need me
That I drive you crazy
And this is really happening
Oh, that this is really happening

[Outro]
Tell me, oh
You'll always need me
(need me, tell me)
(Baby)
That I drive you crazy
(Oh)
That this is really happening"
This Is What You Came For (Live),Unreleased Songs,"[Chorus]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

[Chorus]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

[Verse]
We go fast with the game we play
Who knows why it's gotta be this way?
We say nothing more than we need
I say ""your place"" when we leave

[Chorus]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh"
Thug Story,Unreleased Songs,"[Intro: T-Pain]
Hey Hey, T-Swizzle (T-Swizzle)
T-Pizzle (T-Pizzle)

[Verse 1: Taylor Swift]
I'm like eight foot fo', blonde hair to the floor
You shorties never thought I dreamed about rapping hardcore
No I ain't got a gun, no I never really been in a club
Still live with my parents, but I'm still a thug
I'm so gangster, you can find me baking cookies at night
You out clubbing but I just made caramel delights
T-Swift and T-Pain rapping on the same track
It's a thug story, tell me can you handle that?

[Verse 2: Taylor Swift & T-Pain & Both]
I had a dream last night
I had high top Nikes
I had diamonds in my mouth
And diamonds on my mic
By the time I woke I was singing
I'm on a boat, whoa oh-oh
'Cause I'm a singer turned rapper
Shorty I'm a make ya
Straight to the top, yo
Shorty I'm a take ya
You can call me T-Sweezy
Now I'm a rap star
Hey, It's a thug story
Now tell 'em who you are
Singer turned gangster
You don't want to fight me
Straight to the top
In my extra small white tee

[Bridge: T-Pain]
T-Swift and T-Pain all up on the same track
It's a thug story now can you get with that?

[Outro: Taylor Swift & T-Pain]
What? What? I knit sweaters, yo!
What? What? Don't test me (beep)!
Hey, hold on...
Hold on, I didn't even say anything
I didn't even s-
What?
I said Yo
Yup
You guys bleeped me and I didn't even say anything
I didn't even swear
She didn't, she didn- she didn't even swear
Hello? Ugh!"
Til Brad Pitt Comes Along,Unreleased Songs,"[Verse 1]
Do you remember the day
I leaned up against your car
And it started rolling down the street?
You screamed and ran after it
And tried to open the door
And it ran over your foot
And I was too busy laughing on the ground to see

[Chorus]
It would take Brad Pitt to leave you
It takes five seconds to need you
When I'm mad at all the lovebirds
'Cause they don't know to play our song
I wish that pretty girls couldn't see you
I wish that all your roads would lead you right to me
'Cause that's where you belong
Until Brad Pitt comes along

[Verse 2]
Do you remember the time we watched Carrie
And you said it reminded you of me?
And I threw the remote at you
And you said ""my point exactly""
And later on that night, under the neon city lights
You paid a homeless guy to sing a song to me

[Chorus]
It would take Brad Pitt to leave you
It takes five seconds to need you
When I'm mad at all the lovebirds
'Cause they don't know to play our song
I wish that pretty girls couldn't see you
I wish that all your roads would lead you right to me
'Cause that's where you belong
Until Brad Pitt comes along

[Bridge]
You call me lucky 'cause I lose everything
But I swear I'd be careful with it
If you gave me a ring

[Chorus]
It would take Brad Pitt to leave you
It takes five seconds to need you
When I'm mad at all the lovebirds
'Cause they don't know to play our song
I wish that pretty girls couldn't see you
I wish that all your roads would lead you right to me
'Cause that's where you belong
Until Brad Pitt comes along"
Under My Head,Unreleased Songs,"[Verse 1]
Are you trying to make me fall?
'Cause with a face like that, baby
It won't take too long
Keep on melting me with those eyes
And I think in a while I'll be hypnotized
Sitting here singing

[Chorus]
Ooh, ooh, ooh, I love you I love you
Ooh, ooh, ooh, come a little closer
Oh, oh, I love you I love you
And I'm down to my last breath
Trying to get my heels back under my head

[Verse 2]
Baby somewhere around the time
The moment I saw you
With your hair all sticking up
I was all caught up
'Cause baby you were so damn cute
I need you to need me
See the train is coming for me
Help me, save me from this crash at last

[Chorus]
Ooh, ooh, ooh, I love you I love you
Ooh, ooh, ooh, come a little closer
Oh, oh, I love you I love you
And I'm down to my last breath
Trying to get my heels back under my head

[Bridge]
Na na na na na na na na na na na
You seem to be just what I've tried to find
And your name looks so good written next to mine
Next to mine
Next to mine
Ooh, ooh, ooh, I love you I love you
Ooh, ooh I really really want you
Oh, oh I love you I love you
Oh, oh..

[Chorus]"
Wait For Me,Unreleased Songs,"[Verse 1]
If you had only gotten to me first
If I could write a book on how this hurts
If you could see the way your smile looks to me
If I wasn't scared of the world alone
If I didn't know he loves me so
If I could only find the strength to leave
You'd be with me, so baby

[Chorus]
Don't you look in my eyes
I might fall in love
With a beautiful boy
I wish that I could touch
You go I hope you think of me
As the stars fall down and the heavens fade
This girl is begging wait for me

[Verse 2]
It's so wrong that all I wanna do
Is forget it all and just be with you
I have to go 'cause he don't know
But the writing's on the wall
But here we are in so deep, soaking wet
Jumping in without no safety net
And I don't know what kinda ropes
Would break this kinda fall, so baby

[Chorus]
Don't you look in my eyes
I might fall in love
With a beautiful boy
I wish that I could touch
You go, I hope you think of me
As the stars fall down and the heavens fade
This girl is begging wait, wait for me

[Bridge]
We can't be together right now
Guess there's no use in trying
But if you look at me right now
Can you tell that I'm dying
To hold you
But it would be wrong to

[Chorus]
So don't you look in my eyes
I might fall in love
With a beautiful boy
I wish that I could touch
You go I hope you think of me
As the stars fall down and the heavens fade
This girl is begging wait for me

[Outro]
Don't you look now
Don't you look now
I might fall in love
Don't you look now"
Writing Songs About You,Unreleased Songs,"[Verse 1]
I can't believe you did it again
Walked by and took my heart with you
Why did you have to look so good?
Don't you know that I'm trying to hate you
Trying to have a dream without you in it
But how can I put out this fire
When you're the one who lit it

[Chorus]
I can't wait for the day I stop pretending
That I'm really OK when I'm not
I want to know how it feels to be
Over you for real
Until I do
I'll keep writing songs about you

[Verse 2]
I've got a stack of papers so high
And it's all about you baby
Keep thinking maybe I
Can make sense of something crazy
Something I can't get out of my Head
I write your name I write your name
Then I tear it all to shreds

[Chorus]
I can't wait for the day I stop pretending
That I'm really OK when I'm not
I want to know how it feels to be
Over you for real
Until I do
I'll keep writing songs about you

[Verse 3]
And if you ever change your mind
And want me back again
I hope these songs will remind me
Why I shouldn't let you in

[Chorus]
I can't wait for the day I stop pretending
That I'm really OK cause I'm not
I want to know how it feels to be
Over you for real
Until I do

[Chorus]
I'll just wait for the day
I stop pretending
That I'm really OK when I'm not
I want to know how it feels to be over you for real
Till I do
I'll keep writing songs about you"
You All Over Me,Unreleased Songs,"[Verse 1]
Once the last drop of rain, has dried off the pavement
Shouldn't I find a stain, but I never do
The way the tires turn stones on old county roads
You leave it muddy underneath, reminds me of you
You find graffiti on the walls of old bathroom stalls
You know, you can scratch it right off, it's how we used to be
Like the dollar in your pocket, that's been spent and traded in
You can't change where it's been, reminds me of me

[Chorus]
I lived, and I learned, had you, got burned
Held out, held on
God knows, too long, you wasted my time
Lost tears, swore that I'd get out of here
No amount of freedom gets you clean
I still got you all over me

[Verse 2]
Guess the worst day of June
Was the one that I met you
With your hands in your pockets
And your ""don't you wish you had me"" grin
I did, so I smile, and I melted like a child
Now every breath of air I breathe reminds me of back then

[Chorus]
Well I lived, and I learned, had you, got burned
Held out, held on
God knows, too long, you wasted my time
Lost tears, swore that I'd get out of here
No amount of freedom gets you clean
I still got you all over me

[Bridge]
I lived, and I learned, and found out what it was to turn around
And see that we were never really meant to be
So I lied, and I tried, and I watched a part of myself die
No amount of freedom, gets you clean
I still got you all over me
I still got you all over me

[Outro]
Na na na, na na na, Na na na, na na na na na
Na na na, na na na, na na na, na na na, all over me
Na na na, na na na, Na na na, na na na
Na na na, all over you, all over me
Oh oh oh oh oh yeah, oh oh oh yeah yeah
Oh oh oh all over me"
You Do,Unreleased Songs,"[Verse 1]
Here I am, once again
In your driveway, thinking I should be leaving
I should go but it's so entertaining watching you breathing
You went and got to me like
The stupid song on the radio that you try to forget
But it sticks in your head
So goodbye, it's not goodnight
Cause I'll be seeing you in my dreamin'

[Chorus]
Boy, you got me like a shot to the heart
Got me shakin' so bad, spilled my coffee in the car
Caught a red light I ran right through
Gotta call my friends, tell them all about you
Always looking like one of those nights
When you're thinkin' 'bout kissing 'til the morning light
You got me, you do

[Verse 2]
In a daze, pull the shades
Close my eyes and picture you at my window
I relax, I go back to all the things you said
That only I know

[Chorus]
Boy, you got me like a shot to the heart
Got me shakin' so bad, spilled my coffee in the car
Caught a red light I ran right through
Gotta call my friends, tell them all about you
Always looking like one of those nights
When you're thinkin' 'bout kissing 'til the morning light
You got me, you do

[Bridge]
I'm runnin' right out to my car
And I pull out the drive
It's only been ten minutes
But I have to see you one more time

[Chorus]
Boy, you got me like a shot to the heart
Got me shakin' so bad, spilled my coffee in the car
Caught a red light I ran right through
Gotta call my friends, tell them all about you
Always looking like one of those nights
When you're thinkin' 'bout kissing 'til the morning light
You got me, you do"
Your Anything,Unreleased Songs,"[Verse 1]
I bet you lie awake at night
Trying to make up your sweet mind
Wondering if you'll ever find
Just what you want
A home-town number one
Or a California loaded gun
But you know you only get one
Or that's what you thought
But here's what you've got

[Chorus]
I could be your favorite blue jeans
With the holes in the knees
In the bottom of the top drawer
I could be your little beauty queen
Just a little outta reach
Or the girl living next door
I'll be your angel giving up her wings
If that's what you need
I'd give everything to be your anything

[Verse 2]
If you want hard to get
If you want
All you have to do is let me know
If you want a bumpy ride
Or someone with a softer side
Either one will be alright
Just let me know
Cause this is where it goes

[Chorus]

[Bridge]
It's not like I'm giving up who I am for you
But for someone like you it's just so easy to do

[Chorus]
I could be your favorite blue jeans
With the holes in the knees
In the bottom of the top drawer
I could be your little beauty queen
Just a little outta reach
Or the girl living next door
I'll be your angel giving up her wings
If that's what you need

If that's what you need

[Chorus]"
All You Had to Do Was Stay,1989,"[Verse 1]
People like you always want back
The love they gave away
And people like me wanna believe you
When you say you've changed
The more I think about it now
The less I know
All I know is that you drove us
Off the road

[Chorus]
(Stay!) Hey
All you had to do was stay
Had me in the palm of your hand
Then, why'd you have to go and lock me out when I let you in?
(Stay!) Hey
Now, you say you want it back
Now that it's just too late
Well, could've been easy
All you had to do was (Stay!)
All you had to do was (Stay!)
All you had to do was (Stay!)
All you had to do was (Stay!)
All you had to do was stay

[Verse 2]
Here you are now, calling me up
But I don't know what to say
I've been picking up the pieces
Of the mess you made
People like you always want back
The love they pushed aside
But people like me are gone forever
When you say goodbye

[Chorus]
(Stay!) Hey
All you had to do was stay
Had me in the palm of your hand
Then, why'd you have to go and lock me out when I let you in?
(Stay!) Hey
Now, you say you want it back
Now that it's just too late
Well, could've been easy
All you had to do was (Stay!)
All you had to do was (Stay!)
All you had to do was (stay!)
All you had to do was (Stay! stay! stay! stay! stay!)

[Bridge]
Let me remind you
This was what you wanted (Oh, oh, oh-oh-oh)
You ended it
You were all I wanted (Oh, oh, oh-oh-oh)
But not like this
Not like this
Not like this
Oh, all you had to do was

[Chorus]
(Stay!) Hey
All you had to do was stay
Had me in the palm of your hand
Then, why'd you want to go and lock me out when I let you in?
(Stay!) Hey
Now, you say you want it back
Now that it's just too late
Well, could've been easy
All you had to do was
(Stay!) Hey
All you had to do was stay
Had me in the palm of your hand
Then, why'd you have to go and lock me out when I let you in?
(Stay!) Hey
Now, you say you want it back
Now that it's just too late
(All you had to do was stay)
Well, could've been easy
All you had to do was (Stay!)
All you had to do was (Stay!) (Oh)
All you had to do was (Stay!)
All you had to do was (Stay!) (Ooh)
All you had to do was (Stay!)"
Bad Blood,1989,"[Chorus]
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!

[Verse 1]
Did you have to do this?
I was thinking that you could be trusted
Did you have to ruin what was shiny?
Now it's all rusted
Did you have to hit me where I'm weak?
Baby, I couldn't breathe
And rub it in so deep
Salt in the wound like you're laughing right at me

[Pre-Chorus]
Oh, it's so sad to
Think about the good times
You and I

[Chorus]
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!

[Verse 2]
Did you think we'd be fine?
Still got scars in my back from your knives
So don't think it's in the past
These kinds of wounds they last and they last
Now, did you think it all through?
All these things will catch up to you
And time can heal, but this won't
So if you're coming my way
Just don't

[Pre-Chorus]
Oh, it's so sad to
Think about the good times
You and I

[Chorus]
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!

[Bridge]
Band-aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts
Band-aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts
If you love like that, blood runs cold!

[Chorus]
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em (Think we can solve 'em)
You made a really deep cut
And baby, now we've got bad blood, hey!

[Chorus]
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done (Look what you've done)
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!"
